Date : 2026-07-17 11:17:48
Directory : d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java
Total : 179 files,  7236 codes, 2503 comments, 1697 blanks, all 11436 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |        125 |      6,001 |      2,462 |      1,606 |     10,069 |
| XML      |         18 |        856 |         41 |         86 |        983 |
| JSON     |         35 |        350 |          0 |          0 |        350 |
| YAML     |          1 |         29 |          0 |          5 |         34 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                               |        179 |      7,236 |      2,503 |      1,697 |     11,436 |
| . (Files)                                                                                                                                       |          1 |         88 |         10 |         15 |        113 |
| .idea                                                                                                                                           |          4 |         44 |          0 |          0 |         44 |
| .omo                                                                                                                                            |         35 |        350 |          0 |          0 |        350 |
| .omo\run-continuation                                                                                                                           |         35 |        350 |          0 |          0 |        350 |
| src                                                                                                                                             |        139 |      6,754 |      2,493 |      1,682 |     10,929 |
| src\main                                                                                                                                        |        139 |      6,754 |      2,493 |      1,682 |     10,929 |
| src\main\java                                                                                                                                   |        125 |      6,001 |      2,462 |      1,606 |     10,069 |
| src\main\java\com                                                                                                                               |        125 |      6,001 |      2,462 |      1,606 |     10,069 |
| src\main\java\com\uniseek                                                                                                                       |        125 |      6,001 |      2,462 |      1,606 |     10,069 |
| src\main\java\com\uniseek (Files)                                                                                                               |          1 |         11 |          0 |          2 |         13 |
| src\main\java\com\uniseek\admin                                                                                                                 |          7 |      1,008 |        367 |        207 |      1,582 |
| src\main\java\com\uniseek\admin\controller                                                                                                      |          5 |        238 |        153 |         43 |        434 |
| src\main\java\com\uniseek\admin\service                                                                                                         |          2 |        770 |        214 |        164 |      1,148 |
| src\main\java\com\uniseek\admin\service (Files)                                                                                                 |          1 |         32 |        128 |         29 |        189 |
| src\main\java\com\uniseek\admin\service\impl                                                                                                    |          1 |        738 |         86 |        135 |        959 |
| src\main\java\com\uniseek\auth                                                                                                                  |         10 |        396 |        167 |        120 |        683 |
| src\main\java\com\uniseek\auth\dto                                                                                                              |          8 |        137 |         70 |         63 |        270 |
| src\main\java\com\uniseek\auth\service                                                                                                          |          2 |        259 |         97 |         57 |        413 |
| src\main\java\com\uniseek\auth\service (Files)                                                                                                  |          1 |         14 |         57 |         13 |         84 |
| src\main\java\com\uniseek\auth\service\impl                                                                                                     |          1 |        245 |         40 |         44 |        329 |
| src\main\java\com\uniseek\chat                                                                                                                  |          2 |        346 |        116 |         60 |        522 |
| src\main\java\com\uniseek\chat\websocket                                                                                                        |          2 |        346 |        116 |         60 |        522 |
