Date : 2026-07-17 11:18:15
Directory : d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts
Total : 141 files,  -11646 codes, -222 comments, -1160 blanks, all -13028 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| ArkTS              |         42 |      7,083 |         43 |        701 |      7,827 |
| JSON5              |         11 |        256 |          0 |          6 |        262 |
| Markdown           |          1 |         -3 |          0 |         -3 |         -6 |
| JSON with Comments |          1 |         -7 |          0 |         -1 |         -8 |
| HTML               |          1 |        -13 |          0 |         -1 |        -14 |
| XML                |         21 |        -14 |          0 |         -3 |        -17 |
| CSS                |          1 |       -259 |          0 |        -39 |       -298 |
| TypeScript         |         23 |     -1,149 |       -122 |       -191 |     -1,462 |
| JSON               |         13 |     -2,488 |         -3 |         -4 |     -2,495 |
| vue                |         27 |    -15,052 |       -140 |     -1,625 |    -16,817 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |        141 |    -11,646 |       -222 |     -1,160 |    -13,028 |
| . (Files)                                                                                                                           |          5 |        117 |          0 |          2 |        119 |
| ..                                                                                                                                  |         62 |    -19,099 |       -265 |     -1,872 |    -21,236 |
| ..\uniseek_vue                                                                                                                      |         62 |    -19,099 |       -265 |     -1,872 |    -21,236 |
| ..\uniseek_vue (Files)                                                                                                              |          8 |     -2,624 |         -9 |        -14 |     -2,647 |
| ..\uniseek_vue\public                                                                                                               |          2 |        -25 |          0 |         -1 |        -26 |
| ..\uniseek_vue\src                                                                                                                  |         52 |    -16,450 |       -256 |     -1,857 |    -18,563 |
| ..\uniseek_vue\src (Files)                                                                                                          |          3 |       -297 |         -7 |        -48 |       -352 |
| ..\uniseek_vue\src\api                                                                                                              |         15 |       -802 |        -95 |       -149 |     -1,046 |
| ..\uniseek_vue\src\assets                                                                                                           |          4 |         -4 |          0 |         -2 |         -6 |
| ..\uniseek_vue\src\components                                                                                                       |          2 |       -474 |         -2 |        -59 |       -535 |
| ..\uniseek_vue\src\composables                                                                                                      |          1 |        -86 |         -1 |        -14 |       -101 |
| ..\uniseek_vue\src\layouts                                                                                                          |          2 |       -512 |        -13 |        -70 |       -595 |
| ..\uniseek_vue\src\pages                                                                                                            |         22 |    -14,044 |       -124 |     -1,492 |    -15,660 |
| ..\uniseek_vue\src\pages (Files)                                                                                                    |         17 |    -12,847 |       -124 |     -1,369 |    -14,340 |
| ..\uniseek_vue\src\pages\admin                                                                                                      |          5 |     -1,197 |          0 |       -123 |     -1,320 |
| ..\uniseek_vue\src\router                                                                                                           |          1 |       -188 |         -9 |        -13 |       -210 |
| ..\uniseek_vue\src\stores                                                                                                           |          2 |        -43 |         -5 |        -10 |        -58 |
| AppScope                                                                                                                            |          3 |         26 |          0 |          2 |         28 |
| AppScope (Files)                                                                                                                    |          1 |         11 |          0 |          1 |         12 |
