"filename", "language", "JSON5", "ArkTS", "TypeScript", "JSON", "XML", "comment", "blank", "total"
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\AppScope\app.json5", "JSON5", 11, 0, 0, 0, 0, 0, 1, 12
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\AppScope\resources\base\element\string.json", "JSON", 0, 0, 0, 8, 0, 0, 1, 9
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\AppScope\resources\base\media\layered_image.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 7
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\build-profile.json5", "JSON5", 42, 0, 0, 0, 0, 0, 0, 42
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\code-linter.json5", "JSON5", 32, 0, 0, 0, 0, 0, 0, 32
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\build-profile.json5", "JSON5", 33, 0, 0, 0, 0, 0, 0, 33
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\hvigorfile.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 1, 6
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\oh-package.json5", "JSON5", 9, 0, 0, 0, 0, 0, 2, 11
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\ets\entryability\EntryAbility.ets", "ArkTS", 0, 36, 0, 0, 0, 4, 8, 48
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\ets\entrybackupability\EntryBackupAbility.ets", "ArkTS", 0, 13, 0, 0, 0, 0, 3, 16
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\ets\pages\ChatDetailPage.ets", "ArkTS", 0, 142, 0, 0, 0, 0, 13, 155
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\ets\pages\FavoritesPage.ets", "ArkTS", 0, 125, 0, 0, 0, 0, 8, 133
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\ets\pages\JobDetailPage.ets", "ArkTS", 0, 237, 0, 0, 0, 0, 18, 255
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\ets\pages\LoginPage.ets", "ArkTS", 0, 136, 0, 0, 0, 0, 16, 152
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\ets\pages\MainPage.ets", "ArkTS", 0, 56, 0, 0, 0, 0, 9, 65
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\ets\pages\ProfileDetailPage.ets", "ArkTS", 0, 351, 0, 0, 0, 0, 28, 379
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\ets\pages\RealNameAuthPage.ets", "ArkTS", 0, 139, 0, 0, 0, 0, 15, 154
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\ets\pages\RecruiterApplicationsPage.ets", "ArkTS", 0, 202, 0, 0, 0, 0, 19, 221
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\ets\pages\RecruiterEnterprisePage.ets", "ArkTS", 0, 179, 0, 0, 0, 1, 18, 198
