Date : 2026-07-17 11:18:15
Directory : d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts
Total : 79 files,  7453 codes, 43 comments, 712 blanks, all 8208 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| ArkTS      |         42 |      7,083 |         43 |        701 |      7,827 |
| JSON5      |         11 |        256 |          0 |          6 |        262 |
| JSON       |          9 |         89 |          0 |          3 |         92 |
| XML        |         15 |         15 |          0 |          0 |         15 |
| TypeScript |          2 |         10 |          0 |          2 |         12 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |         79 |      7,453 |         43 |        712 |      8,208 |
| . (Files)                                                                                                                           |          5 |        117 |          0 |          2 |        119 |
| AppScope                                                                                                                            |          3 |         26 |          0 |          2 |         28 |
| AppScope (Files)                                                                                                                    |          1 |         11 |          0 |          1 |         12 |
| AppScope\resources                                                                                                                  |          2 |         15 |          0 |          1 |         16 |
| AppScope\resources\base                                                                                                             |          2 |         15 |          0 |          1 |         16 |
| AppScope\resources\base\element                                                                                                     |          1 |          8 |          0 |          1 |          9 |
| AppScope\resources\base\media                                                                                                       |          1 |          7 |          0 |          0 |          7 |
| entry                                                                                                                               |         70 |      7,287 |         43 |        707 |      8,037 |
| entry (Files)                                                                                                                       |          3 |         47 |          0 |          3 |         50 |
| entry\src                                                                                                                           |         67 |      7,240 |         43 |        704 |      7,987 |
| entry\src\main                                                                                                                      |         61 |      7,179 |         17 |        699 |      7,895 |
| entry\src\main (Files)                                                                                                              |          1 |         55 |          0 |          0 |         55 |
| entry\src\main\ets                                                                                                                  |         38 |      7,035 |         17 |        697 |      7,749 |
| entry\src\main\ets\entryability                                                                                                     |          1 |         36 |          4 |          8 |         48 |
| entry\src\main\ets\entrybackupability                                                                                               |          1 |         13 |          0 |          3 |         16 |
| entry\src\main\ets\pages                                                                                                            |         26 |      6,013 |          9 |        557 |      6,579 |
| entry\src\main\ets\pages (Files)                                                                                                    |         20 |      3,836 |          9 |        365 |      4,210 |
| entry\src\main\ets\pages\tab                                                                                                        |          6 |      2,177 |          0 |        192 |      2,369 |
| entry\src\main\ets\pages\tab\recruiter                                                                                              |          3 |        988 |          0 |         88 |      1,076 |
| entry\src\main\ets\pages\tab\seeker                                                                                                 |          3 |      1,189 |          0 |        104 |      1,293 |
| entry\src\main\ets\services                                                                                                         |         10 |        973 |          4 |        129 |      1,106 |
| entry\src\main\resources                                                                                                            |         22 |         89 |          0 |          2 |         91 |
| entry\src\main\resources\base                                                                                                       |         21 |         81 |          0 |          2 |         83 |
| entry\src\main\resources\base\element                                                                                               |          3 |         32 |          0 |          1 |         33 |
| entry\src\main\resources\base\media                                                                                                 |         16 |         22 |          0 |          0 |         22 |
| entry\src\main\resources\base\profile                                                                                               |          2 |         27 |          0 |          1 |         28 |
| entry\src\main\resources\dark                                                                                                       |          1 |          8 |          0 |          0 |          8 |
