"filename", "language", "JSON5", "JSON", "ArkTS", "TypeScript", "XML", "comment", "blank", "total"
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\.omo\run-continuation\ses_08b2d0cb9ffe1WBChI2b0oe4jS.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 10
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\.omo\run-continuation\ses_08b3703ecfferBh3pwx3xX4vQs.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 10
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\AppScope\app.json5", "JSON5", 11, 0, 0, 0, 0, 0, 1, 12
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\AppScope\resources\base\element\string.json", "JSON", 0, 8, 0, 0, 0, 0, 1, 9
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\AppScope\resources\base\media\layered_image.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 7
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\build-profile.json5", "JSON5", 42, 0, 0, 0, 0, 0, 0, 42
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\code-linter.json5", "JSON5", 36, 0, 0, 0, 0, 0, 0, 36
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\build-profile.json5", "JSON5", 33, 0, 0, 0, 0, 0, 0, 33
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\hvigorfile.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 1, 6
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\oh-package.json5", "JSON5", 9, 0, 0, 0, 0, 0, 2, 11
